,photoid,uid,unickname,datetaken,dateuploaded,capturedevice,title,description,usertags,machinetags,longitude,latitude,accuracy,pageurl,downloadurl,licensename,licenseurl,serverid,farmid,secret,secretoriginal,ext,marker
0,29060,34427466731@N01,striatic,2004-05-02 17:12:01.0,1083543121,,Christmas+Panorama+%7Bnotes%7D,a+link+to+a+much+higher+resolution+version%2C+where+you+can+actually+see+people+without+squinting%3A%0D%0A%0D%0A%3Ca+href%3D%22http%3A%2F%2Fphotos1.flickr.com%2F29060_e90c2a0c1c_o.jpg%22%3EFull+Sized+image%3C%2Fa%3E%0D%0A--,"alberta,canada,christmas,edmonton,family,indoor,my+%27good%27+images,notes,panorama,photo,st+albert,unfound,vacation",,-113.62436,53.633865,16.0,http://www.flickr.com/photos/34427466731@N01/29060/,http://farm1.staticflickr.com/1/29060_e90c2a0c1c.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,1,1,e90c2a0c1c,e90c2a0c1c,jpg,0
1,29205,34427469121@N01,George,2004-05-03 10:16:04.0,1083604564,,La+Luna,From+outside+my+window.,"moon,vankie",,,,,http://www.flickr.com/photos/34427469121@N01/29205/,http://farm1.staticflickr.com/1/29205_64d31038b1.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,64d31038b1,64d31038b1,jpg,0
2,29209,34427469121@N01,George,2004-05-03 10:16:06.0,1083604566,,From+the+entry,This+is+what+you+see+-+with+no+furniture.,apartment,,,,,http://www.flickr.com/photos/34427469121@N01/29209/,http://farm1.staticflickr.com/1/29209_6d55fad203.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,6d55fad203,6d55fad203,jpg,0
3,29294,37912375204@N01,Schlomo+Rabinowitz,2004-05-01 16:49:37.0,1083625746,SONY+DSC-V1,detail,detail+of+painting+by+Romanowski+and+friends,"abstract,graffiti,painting,romanowski,urban",,,,,http://www.flickr.com/photos/37912375204@N01/29294/,http://farm1.staticflickr.com/1/29294_a0fc568df3.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,a0fc568df3,a0fc568df3,jpg,0
4,29604,37912375204@N01,Schlomo+Rabinowitz,2004-04-23 15:51:18.0,1083731910,SONY+DSC-V1,meandwayne,on+his+rockstar+tourbus,"friend,me,mirror,notes,schlomo,unfound,wayne",,,,,http://www.flickr.com/photos/37912375204@N01/29604/,http://farm1.staticflickr.com/1/29604_878d5a7ddd.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,878d5a7ddd,878d5a7ddd,jpg,0
5,29872,34427465504@N01,Trinity,2004-05-05 21:30:05.0,1083817805,,bruise+5%2F2%2F4,I+got+this+bruise+at+work...wonder+if+I+can+get+worker%27s+comp%2C+hehehe,"2004,bruise,me,photo,unfound",,-93.440796,38.760236,16.0,http://www.flickr.com/photos/34427465504@N01/29872/,http://farm1.staticflickr.com/1/29872_c787b1b056.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,1,1,c787b1b056,c787b1b056,jpg,0
6,29873,34427465504@N01,Trinity,2004-05-05 21:30:06.0,1083817806,,bruise+5%2F5%2F4,same+bruise%2C+day+4,"2004,bruise,me,photo,unfound",,-93.440796,38.760236,16.0,http://www.flickr.com/photos/34427465504@N01/29873/,http://farm1.staticflickr.com/1/29873_d0359535ab.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,1,1,d0359535ab,d0359535ab,jpg,0
7,29874,34427465504@N01,Trinity,2004-05-05 21:30:07.0,1083817807,,bruise+5%2F3%2F4,same+bruise%2C+day+2,"2004,bruise,me,photo,unfound",,-93.440796,38.760236,16.0,http://www.flickr.com/photos/34427465504@N01/29874/,http://farm1.staticflickr.com/1/29874_f02c63c2c8.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,1,1,f02c63c2c8,f02c63c2c8,jpg,0
8,29875,34427465504@N01,Trinity,2004-05-05 21:30:09.0,1083817809,,bruise+5%2F4%2F4,same+bruise%2C+day+3,"2004,bruise,me,photo,unfound",,-93.440796,38.760236,16.0,http://www.flickr.com/photos/34427465504@N01/29875/,http://farm1.staticflickr.com/1/29875_6251beed11.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,1,1,6251beed11,6251beed11,jpg,0
9,29987,35034347309@N01,Josh+Mishell,2002-07-27 18:07:18.0,1083830282,Canon+PowerShot+S200,Ernie,my+brother%27s+dog,"dog,family,photos+i+took",,,,,http://www.flickr.com/photos/35034347309@N01/29987/,http://farm1.staticflickr.com/1/29987_618b0e62fc.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,618b0e62fc,618b0e62fc,jpg,0
